lap,lap_time,invalid,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7
1,3.360,1,true,true,true,true,false,true,true,true
2,3.068,0,true,true,true,true,true,true,true,true
3,3.160,0,true,true,true,true,true,true,true,true
4,3.220,0,true,true,true,true,true,true,true,true
5,3.032,1,true,false,true,true,true,true,true,true
6,3.188,0,true,true,true,true,true,true,true,true
7,2.960,0,true,true,true,true,true,true,true,true
8,3.232,0,true,true,true,true,true,true,true,true
9,2.980,0,true,true,true,true,true,true,true,true
10,3.000,0,true,true,true,true,true,true,true,true
11,3.088,0,true,true,true,true,true,true,true,true
12,3.060,1,true,false,true,true,true,true,true,true
13,3.032,1,false,true,true,true,true,true,true,false
14,3.208,1,true,false,true,true,true,true,true,true
15,3.172,0,true,true,true,true,true,true,true,true
16,2.980,0,true,true,true,true,true,true,true,true
17,3.120,0,true,true,true,true,true,true,true,true
18,2.928,0,true,true,true,true,true,true,true,true
19,3.020,0,true,true,true,true,true,true,true,true
20,2.972,0,true,true,true,true,true,true,true,true
21,3.120,0,true,true,true,true,true,true,true,true
22,3.020,0,true,true,true,true,true,true,true,true
23,3.248,1,true,true,true,true,true,true,false,true
24,3.136,1,false,true,true,true,true,true,true,true
25,3.356,1,true,false,true,true,true,true,true,true
26,3.068,0,true,true,true,true,true,true,true,true
27,3.280,0,true,true,true,true,true,true,true,true
28,3.472,1,true,false,true,true,true,true,false,true
29,3.248,1,true,true,false,true,true,true,true,true
30,3.100,0,true,true,true,true,true,true,true,true
31,3.060,0,true,true,true,true,true,true,true,true
32,2.980,0,true,true,true,true,true,true,true,true
33,2.992,0,true,true,true,true,true,true,true,true
34,3.048,0,true,true,true,true,true,true,true,true
35,3.192,0,true,true,true,true,true,true,true,true
36,3.140,0,true,true,true,true,true,true,true,true
37,3.068,0,true,true,true,true,true,true,true,true
38,2.880,0,true,true,true,true,true,true,true,true
39,3.080,0,true,true,true,true,true,true,true,true
40,3.000,0,true,true,true,true,true,true,true,true
41,2.900,0,true,true,true,true,true,true,true,true
42,3.040,0,true,true,true,true,true,true,true,true
43,2.932,0,true,true,true,true,true,true,true,true
44,3.224,0,true,true,true,true,true,true,true,true
45,2.936,0,true,true,true,true,true,true,true,true
46,3.060,0,true,true,true,true,true,true,true,true
47,3.188,0,true,true,true,true,true,true,true,true
48,3.132,0,true,true,true,true,true,true,true,true
49,3.108,0,true,true,true,true,true,true,true,true
50,2.980,0,true,true,true,true,true,true,true,true
51,3.020,0,true,true,true,true,true,true,true,true
52,3.080,0,true,true,true,true,true,true,true,true
53,3.160,0,true,true,true,true,true,true,true,true
54,3.052,0,true,true,true,true,true,true,true,true
55,3.220,0,true,true,true,true,true,true,true,true
56,2.940,0,true,true,true,true,true,true,true,true
57,3.140,0,true,true,true,true,true,true,true,true
58,3.060,0,true,true,true,true,true,true,true,true
59,2.988,0,true,true,true,true,true,true,true,true
60,2.960,0,true,true,true,true,true,true,true,true